3,10,25
12,15,138
3,5,20
5,7,53
14,18,154
3,17,32
6,15,75
9,15,111
NA,NA,NA
NA,NA,NA
8,12,97
NA,NA,NA
NA,NA,NA
4,13,44
NA,NA,NA
NA,NA,NA
3,8,23
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
7,19,92
9,17,113
9,14,110
14,15,151
3,5,20
3,5,20
7,11,84
NA,NA,NA
3,15,30
NA,NA,NA
2,7,5
11,16,131
16,20,165
4,5,36
2,8,6
11,12,127
6,15,75
10,17,123
10,14,120
2,9,7
3,18,33
NA,NA,NA
3,14,29
NA,NA,NA
4,17,48
11,15,130
8,9,94
4,10,41
14,19,155
2,5,3
NA,NA,NA
2,5,3
NA,NA,NA
6,12,72
NA,NA,NA
5,15,61
18,20,170
NA,NA,NA
NA,NA,NA
2,18,16
NA,NA,NA
3,10,25
7,16,89
2,7,5
NA,NA,NA
4,8,39
NA,NA,NA
NA,NA,NA
10,17,123
3,19,34
10,16,122
5,13,59
3,7,22
4,8,39
NA,NA,NA
NA,NA,NA
6,15,75
2,16,14
4,9,40
4,19,50
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
2,17,15
6,7,67
6,11,71
4,6,37
NA,NA,NA
NA,NA,NA
3,6,21
17,20,168
7,13,86
2,5,3
NA,NA,NA
3,7,22
NA,NA,NA
4,12,43
9,18,114
