13,17,25
2,9,7
2,3,1
7,14,61
2,8,6
4,18,18
12,17,41
4,16,15
4,6,5
NA,NA,NA
NA,NA,NA
12,13,89
4,5,4
2,7,5
4,13,12
NA,NA,NA
NA,NA,NA
11,12,28
NA,NA,NA
NA,NA,NA
6,10,25
2,17,15
3,19,34
2,11,9
3,14,12
4,20,20
13,20,129
4,16,102
NA,NA,NA
NA,NA,NA
7,9,28
13,15,48
11,12,30
4,16,77
4,9,9
12,15,22
5,11,11
18,20,49
2,7,5
10,16,53
5,10,27
3,5,20
6,15,46
9,15,19
NA,NA,NA
3,11,9
3,18,33
NA,NA,NA
7,19,66
NA,NA,NA
8,11,96
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
4,14,13
2,11,26
3,5,20
4,15,15
NA,NA,NA
11,18,57
7,10,54
4,20,51
4,18,17
2,7,5
NA,NA,NA
7,14,56
6,10,108
13,17,25
5,18,34
5,17,18
3,15,13
8,13,32
8,12,46
2,8,6
8,12,97
5,9,9
4,8,23
4,10,10
9,20,24
2,13,11
2,7,22
NA,NA,NA
3,9,24
5,19,75
10,12,33
6,18,92
2,12,10
7,20,53
4,20,20
NA,NA,NA
6,16,34
10,11,48
14,18,66
6,18,91
6,15,32
13,15,24
NA,NA,NA
8,20,70
