9,10,71
5,15,46
NA,NA,NA
2,7,5
3,9,19
2,12,10
3,12,22
3,14,24
2,6,4
4,13,34
3,9,19
3,7,17
2,9,7
3,4,14
7,8,56
2,8,6
2,8,6
4,9,30
9,10,71
2,4,2
6,8,48
9,10,71
NA,NA,NA
2,6,4
3,6,16
2,8,6
3,8,18
NA,NA,NA
9,10,71
2,6,4
6,14,54
5,6,37
3,5,15
7,9,57
3,4,14
2,5,3
2,13,11
3,7,17
NA,NA,NA
2,12,10
NA,NA,NA
7,9,57
2,3,1
4,11,32
2,7,5
2,8,6
3,6,16
2,10,8
8,10,65
3,6,16
7,8,56
3,13,23
2,3,1
3,6,16
5,11,42
2,13,11
2,7,5
2,11,9
2,4,2
2,8,6
2,10,8
NA,NA,NA
2,5,3
4,11,32
9,11,72
3,15,25
3,14,24
2,5,3
NA,NA,NA
4,5,26
2,10,8
4,14,35
6,8,48
2,4,2
3,15,25
10,14,80
2,7,5
4,7,28
NA,NA,NA
3,4,14
2,9,7
NA,NA,NA
2,4,2
2,12,10
2,4,2
4,5,26
2,6,4
2,11,9
NA,NA,NA
3,12,22
2,11,9
2,5,3
4,6,27
NA,NA,NA
4,8,29
2,13,11
6,10,50
6,9,49
3,4,14
2,6,4
