2,14,12
2,4,2
2,5,3
2,8,6
2,11,9
14,18,154
6,13,73
6,15,75
9,17,113
2,3,1
2,7,5
3,9,24
2,18,16
3,5,20
2,4,2
2,14,12
5,9,55
2,14,12
3,19,34
2,15,13
3,10,25
3,16,31
3,4,19
2,9,7
4,11,42
2,8,6
3,10,25
2,11,9
4,19,50
3,16,31
2,6,4
3,20,35
NA,NA,NA
3,16,31
2,9,7
2,17,15
3,4,19
4,6,37
2,4,2
2,11,9
3,12,27
6,12,72
2,5,3
7,12,85
8,12,97
7,12,85
2,6,4
11,14,129
NA,NA,NA
2,9,7
4,14,45
4,15,46
4,9,40
3,11,26
3,7,22
2,4,2
NA,NA,NA
6,18,78
3,13,28
3,11,26
2,5,3
2,15,13
4,7,38
4,16,47
2,11,9
3,7,22
2,14,12
3,18,33
NA,NA,NA
12,20,143
6,12,72
4,7,38
3,7,22
8,19,104
2,14,12
7,8,81
4,9,40
2,3,1
6,19,79
15,19,160
3,19,34
2,11,9
6,13,73
3,4,19
3,5,20
2,7,5
6,9,69
7,12,85
2,13,11
4,5,36
3,5,20
4,10,41
6,7,67
3,4,19
2,19,17
NA,NA,NA
4,13,44
6,16,76
4,12,43
NA,NA,NA
