2,6,4
2,3,1
3,10,9
NA,NA,NA
4,6,17
3,5,10
4,8,19
3,7,5
2,8,6
NA,NA,NA
6,9,11
NA,NA,NA
3,8,13
2,7,5
2,7,5
NA,NA,NA
NA,NA,NA
NA,NA,NA
5,9,9
3,5,10
7,9,35
4,10,21
3,6,11
3,5,4
NA,NA,NA
3,4,9
4,10,10
2,5,3
NA,NA,NA
NA,NA,NA
3,10,9
5,7,8
NA,NA,NA
NA,NA,NA
5,10,16
NA,NA,NA
2,6,4
5,9,10
8,10,25
2,4,2
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
6,7,9
NA,NA,NA
NA,NA,NA
2,10,8
4,8,19
2,5,3
4,7,6
5,6,16
5,8,28
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
3,9,21
NA,NA,NA
2,4,2
NA,NA,NA
3,8,19
NA,NA,NA
3,8,13
NA,NA,NA
2,8,6
NA,NA,NA
NA,NA,NA
NA,NA,NA
4,5,4
3,8,7
NA,NA,NA
8,9,19
2,3,1
NA,NA,NA
NA,NA,NA
5,6,13
6,7,35
7,9,30
2,3,1
8,10,28
NA,NA,NA
NA,NA,NA
7,9,18
2,6,4
5,9,29
2,3,1
2,5,3
NA,NA,NA
8,9,13
3,8,7
4,6,23
3,4,2
4,9,20
7,8,17
NA,NA,NA
