"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0,-3.22131,-4.05914,-2.83608,-2.09343,-5.11099,-4.17113,-3.70311,-1.75427,-2.90215,2.02694,-4.49041,-2.97791,1.28009,-1.65899
"2",0,-2.90391,0.85623,-3.07259,-2.19274,-2.37663,-7.73288,-2.15381,-8.19407,-8.14338,-13.6343,-8.07714,-4.3184,-1.46293,-5.53136
"3",0,1.31632,4.05654,0.20931,1.13166,0.88746,8.63303,-0.13073,4.26638,-1.85454,5.64138,4.63788,3.82525,7.57703,1.23035
"4",0,-0.83471,-4.69743,-4.40758,-2.06722,-5.2334,-3.85444,-6.79318,-1.86792,-8.36493,-5.00826,-2.51366,-7.54034,-7.28327,-8.27269
"5",0,4.7748,5.23512,12.10555,5.85233,13.58996,6.17853,1.52645,9.442,1.71621,5.08669,6.65912,6.35585,11.60022,-1.26517
"6",0,-2.02075,-2.38399,-2.17524,-1.48914,-0.6231,-7.82235,-2.87752,-1.23849,1.54783,-1.63936,-7.81726,-4.68051,3.11121,-0.8596
"7",0,-1.9138,4.69973,3.5757,-5.9211,2.48868,1.39578,7.32233,4.11157,-1.59516,4.34167,2.45903,3.4622,3.05654,-9.94433
"8",0,3.98437,-2.23615,-0.47492,-5.11842,1.47574,7.08322,1.51454,4.51711,-0.87116,7.20924,5.09678,1.49074,1.6272,6.98354
"9",0,1.68755,3.44106,3.79225,6.63358,4.0713,6.10113,6.1902,7.04358,4.73648,3.19265,4.35336,10.5324,2.33045,1.4394
"10",0,-2.04892,-1.28065,1.29688,1.16829,-1.77675,2.81559,0.28932,4.74688,8.0955,3.99655,0.58729,-4.02991,0.2759,3.16249
"11",0,-0.37297,2.55849,0.44022,-6.57069,-0.03405,-1.38888,-1.02046,-1.2351,-0.54221,-1.31096,4.20614,-0.71917,-0.82986,-8.28773
"12",0,-1.12128,-1.01637,3.8733,5.2775,5.74051,1.10577,6.58841,0.1571,9.44659,5.21055,-1.66229,5.73678,3.57377,2.25936
