6,11,39
NA,NA,NA
5,8,62
NA,NA,NA
NA,NA,NA
2,15,13
NA,NA,NA
4,6,37
12,20,99
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
4,8,8
9,10,46
3,12,27
6,11,22
NA,NA,NA
3,6,21
12,16,84
4,8,8
NA,NA,NA
NA,NA,NA
NA,NA,NA
12,19,74
6,8,10
7,10,64
9,14,18
16,17,45
3,14,29
6,7,9
NA,NA,NA
7,8,27
2,17,32
4,14,30
5,12,43
16,20,50
NA,NA,NA
NA,NA,NA
11,19,142
10,13,42
3,10,9
6,12,68
3,13,28
4,12,28
NA,NA,NA
NA,NA,NA
NA,NA,NA
15,17,58
15,20,46
2,15,13
5,8,69
NA,NA,NA
3,7,5
15,20,46
NA,NA,NA
NA,NA,NA
8,11,47
8,17,124
16,20,48
3,9,41
4,6,37
NA,NA,NA
NA,NA,NA
NA,NA,NA
16,18,111
3,4,19
8,18,37
16,20,63
2,14,12
8,14,30
7,19,92
9,18,103
2,14,12
11,20,63
16,20,35
5,12,52
3,5,4
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
2,6,4
11,12,43
10,11,72
8,11,75
10,13,18
3,6,4
7,14,32
4,12,58
4,20,58
4,9,56
10,14,19
3,9,24
10,14,90
NA,NA,NA
NA,NA,NA
